Eq. label       no scaling       scaling    GP no scaling       GP scaling
--------------------------------------------------------------------------
I.12.5                   1             1         500 (50)         500 (50)
I.12.1                  58            58         500 (50)         500 (50)
I.14.3                   1             1         747 (50)         689 (50)
I.24.6                   -          3160                -      349298 (12)
I.29.4                   1             1         500 (50)         500 (50)
I.34.8                   1             1        9060 (49)        2293 (50)
I.39.1                   -             1       741930 (6)         500 (50)
I.25.13                  1             1         500 (50)         500 (50)
I.43.16                  1             1       16286 (46)        2076 (50)
I.43.31                  1             1         749 (50)         708 (50)
II.8.31                 10             1      1611994 (3)         621 (50)
II.34.2                 10             1      1161909 (4)         665 (50)
III.15.14                -             1                -       10571 (48)
